 2.5   47 1
 2.5   32 2
 7.5   20 1
 7.5   13 2
12.5   24 1
12.5   13 2
17.5  214 1
17.5   39 2
22.5  250 1
22.5   60 2
27.5  218 1
27.5   34 2
32.5  259 1
32.5   64 2
37.5  303 1
37.5   67 2
42.5  305 1
42.5   67 2
47.5  379 1
47.5   73 2
52.5  429 1
52.5  114 2
57.5  423 1
57.5  121 2
62.5  415 1
62.5  151 2
67.5  359 1
67.5  170 2
72.5  322 1
72.5  187 2
77.5  421 1
77.5  248 2
82.5  389 1
82.5  212 2
87.5  305 1
87.5  175 2
92.5  109 1
92.5   97 2
97.5   33 1
97.5   45 2
