# lon	lat	angle	label
121.4848379	25.14730026	42.80214865	1
121.1273246	24.90229867	12.77013098	2
120.9648682	24.79397253	8.442215974	3
121.053758	24.79089283	9.783674089	4
120.9422493	24.57620325	56.46925117	5
120.7631975	24.41018045	39.30488778	6
120.5360933	24.18973621	81.23029202	7
120.6209918	24.33284716	52.36419603	8
120.6732768	24.29394409	17.91400215	9
120.5933017	23.94825236	88.64299501	10
120.7050587	23.99443162	85.82743208	11
120.78774	23.99024741	47.50329085	12
120.5494237	23.56711462	79.44377215	13
120.439892	23.55681542	8.457261573	14
120.6660399	23.6685496	37.86583302	15
120.4443838	23.35120017	59.35691489	16
120.3725432	23.25474309	59.36503794	17
120.5919928	23.481963	86.71302884	18
120.3091965	23.05472844	6.442767232	19
120.2378612	22.97967405	80.17424218	20
120.4394412	23.0279835	42.91165216	21
120.3175952	22.8448007	81.77645945	22
120.4233772	22.83511026	47.58261832	23
120.6213181	22.65793934	77.01189917	24
120.7356774	22.02947432	109.1230552	25
121.6040345	24.00074552	71.0283857	26
121.4483508	23.65164883	63.79037034	27
121.3882723	23.56398006	72.79502687	28
121.4019853	23.46509167	22.62228211	29
121.3308235	23.40492632	71.11194507	30
121.2271502	23.13997939	76.47842794	31
121.0934369	22.87796178	64.98797136	32
121.1273706	22.83473911	80.67788042	33
