2016-07-28T   1.3   160.0 466920
2016-07-29T   1.8   140.0 466920
2016-07-30T   2.6    70.0 466920
2016-07-31T   4.0    50.0 466920
2016-07-01T   2.4    90.0 467410
2016-07-02T   3.6   200.0 467410
2016-07-03T   3.8   230.0 467410
2016-07-04T   3.5   220.0 467410
2016-07-05T   3.5    50.0 467410
2016-07-06T   1.9   270.0 467410
2016-07-07T   2.9    30.0 467410
2016-07-08T   7.6    10.0 467410
2016-07-09T   5.6   190.0 467410
2016-07-10T   4.0   180.0 467410
2016-07-11T   3.7   140.0 467410
2016-07-12T   4.0   150.0 467410
2016-07-13T   3.5   200.0 467410
2016-07-14T   3.2   210.0 467410
2016-07-15T   2.2   270.0 467410
2016-07-16T   2.2   290.0 467410
2016-07-17T   2.3   230.0 467410
2016-07-18T   2.6   150.0 467410
2016-07-19T   2.6   150.0 467410
2016-07-20T   2.5   160.0 467410
2016-07-21T   2.1   330.0 467410
2016-07-22T   2.3   330.0 467410
2016-07-23T   2.2   320.0 467410
2016-07-24T   2.1   320.0 467410
2016-07-25T   3.3   350.0 467410
2016-07-26T   2.3   320.0 467410
2016-07-27T   2.1   340.0 467410
2016-07-28T   2.4   280.0 467410
2016-07-29T   2.5   160.0 467410
2016-07-30T   2.7   340.0 467410
2016-07-31T   2.1   330.0 467410
2016-07-01T   0.9   340.0 467490
2016-07-02T   1.1   230.0 467490
2016-07-03T   1.3   240.0 467490
2016-07-04T   0.9   240.0 467490
2016-07-05T   1.4   360.0 467490
2016-07-06T   1.0   150.0 467490
2016-07-07T   1.0    10.0 467490
2016-07-08T   1.3   200.0 467490
2016-07-09T   1.4   190.0 467490
2016-07-10T   1.8   200.0 467490
2016-07-11T   1.9   180.0 467490
2016-07-12T   2.4   190.0 467490
2016-07-13T   2.0   180.0 467490
2016-07-14T   2.1   190.0 467490
2016-07-15T   2.2   190.0 467490
2016-07-16T   2.2   190.0 467490
2016-07-17T   1.8   150.0 467490
2016-07-18T   1.5   210.0 467490
2016-07-19T   1.2   190.0 467490
2016-07-20T   1.2   250.0 467490
2016-07-21T   1.3   240.0 467490
2016-07-22T   1.2   240.0 467490
2016-07-23T   1.3   190.0 467490
2016-07-24T   1.3   340.0 467490
2016-07-25T   1.1   340.0 467490
2016-07-26T   1.3   200.0 467490
2016-07-27T   1.7   200.0 467490
2016-07-28T   1.5   160.0 467490
2016-07-29T   1.1   140.0 467490
2016-07-30T   1.3   170.0 467490
2016-07-31T   1.3   340.0 467490
2016-07-01T   1.7   320.0 467660
2016-07-02T   2.1   180.0 467660
2016-07-03T   1.9   180.0 467660
2016-07-04T   1.9   110.0 467660
2016-07-05T   2.3    40.0 467660
2016-07-06T   2.6   330.0 467660
2016-07-07T   3.5   330.0 467660
2016-07-08T  11.7   360.0 467660
2016-07-09T -9997.0 -9997.0 467660
2016-07-10T   3.1   190.0 467660
2016-07-11T   2.8   210.0 467660
2016-07-12T   4.0   190.0 467660
2016-07-13T   2.7   190.0 467660
2016-07-14T   1.4    60.0 467660
2016-07-15T   1.3   120.0 467660
2016-07-16T   1.5   300.0 467660
2016-07-17T   1.5    60.0 467660
2016-07-18T   1.5   310.0 467660
2016-07-19T   1.7   360.0 467660
2016-07-20T   1.3   190.0 467660
2016-07-21T   1.4   140.0 467660
2016-07-22T   1.4   300.0 467660
2016-07-23T   1.3   150.0 467660
2016-07-24T   1.6   300.0 467660
2016-07-25T   1.3   120.0 467660
2016-07-26T   1.3   170.0 467660
2016-07-27T   1.4   360.0 467660
2016-07-28T   1.4   320.0 467660
2016-07-29T   1.4   310.0 467660
2016-07-30T   1.6   310.0 467660
2016-07-31T   2.7    50.0 467660
2016-08-01T   4.5   100.0 466920
2016-08-02T   1.4   200.0 466920
2016-08-03T   1.4   150.0 466920
2016-08-04T   1.2   160.0 466920
2016-08-05T   1.5   300.0 466920
2016-08-06T   1.8    50.0 466920
2016-08-07T   1.6    50.0 466920
2016-08-08T   1.4   310.0 466920
2016-08-09T   1.5    50.0 466920
2016-08-10T   2.6    50.0 466920
2016-08-11T   1.3    70.0 466920
2016-08-12T   2.5    80.0 466920
2016-08-13T   2.0    60.0 466920
2016-08-14T   2.8   110.0 466920
2016-08-15T   2.9    60.0 466920
2016-08-16T   1.5   300.0 466920
2016-08-17T   1.3    70.0 466920
2016-08-18T   1.1   160.0 466920
2016-08-19T   1.5   160.0 466920
2016-08-20T   1.6   160.0 466920
2016-08-21T   2.2    60.0 466920
2016-08-22T   2.5    60.0 466920
2016-08-23T   2.1    70.0 466920
2016-08-24T   2.0   160.0 466920
2016-08-25T   1.4   300.0 466920
2016-08-26T   1.9    60.0 466920
2016-08-27T   1.4   160.0 466920
2016-08-28T   1.9    50.0 466920
2016-08-29T   2.2   160.0 466920
2016-08-30T   2.3    60.0 466920
2016-08-31T   1.3   160.0 466920
2016-08-01T   3.2   190.0 467410
2016-08-02T   4.1   210.0 467410
2016-08-03T   2.4   270.0 467410
2016-08-04T   2.5   330.0 467410
2016-08-05T   2.7   320.0 467410
2016-08-06T   2.6    30.0 467410
2016-08-07T   2.7   200.0 467410
2016-08-08T   3.4   350.0 467410
2016-08-09T   2.2   330.0 467410
2016-08-10T   2.1   120.0 467410
2016-08-11T   3.3   230.0 467410
2016-08-12T   2.1   190.0 467410
2016-08-13T   2.7   160.0 467410
2016-08-14T   2.0   160.0 467410
2016-08-15T   3.3   190.0 467410
2016-08-16T   4.3   180.0 467410
2016-08-17T   3.8   170.0 467410
2016-08-18T   3.0   180.0 467410
2016-08-19T   2.7   150.0 467410
2016-08-20T   1.7   310.0 467410
2016-08-21T   1.9   190.0 467410
2016-08-22T   2.6   340.0 467410
2016-08-23T   1.9   300.0 467410
2016-08-24T   2.5   280.0 467410
2016-08-25T   2.2   180.0 467410
2016-08-26T   2.5   340.0 467410
2016-08-27T   2.4   330.0 467410
2016-08-28T   2.6    10.0 467410
2016-08-29T   2.0   180.0 467410
2016-08-30T   2.5    40.0 467410
2016-08-31T   2.2   320.0 467410
2016-08-01T   1.2   210.0 467490
2016-08-02T   0.9   110.0 467490
2016-08-03T   1.0   350.0 467490
2016-08-04T   0.9   340.0 467490
2016-08-05T   1.0   240.0 467490
2016-08-06T   1.1   330.0 467490
2016-08-07T   1.3   350.0 467490
2016-08-08T   1.2   350.0 467490
2016-08-09T   1.1   350.0 467490
2016-08-10T   0.8   130.0 467490
2016-08-11T   0.9   210.0 467490
2016-08-12T   0.8   190.0 467490
2016-08-13T   0.7   340.0 467490
2016-08-14T   1.1   240.0 467490
2016-08-15T   1.3   340.0 467490
2016-08-16T   0.7   240.0 467490
2016-08-17T   1.1    60.0 467490
2016-08-18T   0.8   240.0 467490
2016-08-19T   1.0   180.0 467490
2016-08-20T   1.0   250.0 467490
2016-08-21T   1.0   330.0 467490
2016-08-22T   1.1   340.0 467490
2016-08-23T   1.5   350.0 467490
2016-08-24T   1.4   160.0 467490
2016-08-25T   1.0   210.0 467490
2016-08-26T   1.1   340.0 467490
2016-08-27T   1.3   340.0 467490
2016-08-28T   1.6    30.0 467490
2016-08-29T   1.4   350.0 467490
2016-08-30T   1.1   180.0 467490
2016-08-31T   1.0   250.0 467490
2016-08-01T   1.5   350.0 467660
2016-08-02T   1.1   190.0 467660
2016-08-03T   0.6   300.0 467660
2016-08-04T   1.2   160.0 467660
2016-08-05T   1.1   110.0 467660
2016-08-06T   1.3   310.0 467660
2016-08-07T   1.1   310.0 467660
2016-08-08T   1.1   130.0 467660
2016-08-09T   1.1   300.0 467660
2016-08-10T   1.5   310.0 467660
2016-08-11T   1.0    20.0 467660
2016-08-12T   1.0   320.0 467660
2016-08-13T   0.6   300.0 467660
2016-08-14T   1.0   170.0 467660
2016-08-15T   1.1   190.0 467660
2016-08-16T   1.5   220.0 467660
2016-08-17T   1.2   180.0 467660
2016-08-18T   1.1    60.0 467660
2016-08-19T   1.2   300.0 467660
2016-08-20T   1.3   320.0 467660
2016-08-21T   1.4    60.0 467660
2016-08-22T   1.4    50.0 467660
2016-08-23T   1.2   110.0 467660
2016-08-24T   1.2   110.0 467660
2016-08-25T   1.1   300.0 467660
2016-08-26T   1.1   120.0 467660
2016-08-27T   1.1   310.0 467660
2016-08-28T   1.7    20.0 467660
2016-08-29T   1.1   340.0 467660
2016-08-30T   0.9   350.0 467660
2016-08-31T   1.1   340.0 467660
